,twelve,sixteen
1,0.0413,0.0251
2,0.0353,0.0251
3,0.0357,0.0263
4,0.0293,0.033
5,0.0318,0.0216
6,0.0268,0.0263
7,0.0343,0.0361
8,0.0336,0.0248
9,0.0383,0.024
10,0.0482,0.0261
